FlowID Throughput_Mbps Normalized
1 0.691826 0.016943
2 0.642171 0.015727
3 0.604694 0.0148091
4 0.57382 0.014053
5 0.558212 0.0136708
6 0.57099 0.0139837
7 0.573992 0.0140572
8 0.57888 0.0141769
9 0.556582 0.0136309
10 0.499466 0.0122321
11 0.547578 0.0134103
12 0.499809 0.0122405
13 0.508042 0.0124421
14 0.543375 0.0133074
15 0.465591 0.0114025
16 0.531283 0.0130113
17 0.532913 0.0130512
18 0.481628 0.0117952
19 0.552123 0.0135217
20 0.47168 0.0115516
21 0.486431 0.0119128
22 0.507699 0.0124337
23 0.468678 0.0114781
24 0.514732 0.0126059
25 0.525537 0.0128706
26 0.429915 0.0105287
27 0.46379 0.0113584
28 0.49252 0.012062
29 0.443551 0.0108627
30 0.440378 0.010785
31 0.455471 0.0111546
32 0.481028 0.0117805
33 0.434031 0.0106296
34 0.451698 0.0110622
35 0.402815 0.00986506
36 0.396983 0.00972224
37 0.409676 0.0100331
38 0.418852 0.0102578
39 0.440635 0.0107913
40 0.406159 0.00994697
41 0.386349 0.0094618
42 0.413363 0.0101234
43 0.373142 0.00913836
44 0.384891 0.0094261
45 0.378287 0.00926437
46 0.368682 0.00902914
47 0.368596 0.00902704
48 0.394753 0.00966763
49 0.371598 0.00910055
50 0.36731 0.00899554
51 0.401443 0.00983145
52 0.364737 0.00893253
53 0.396812 0.00971804
54 0.378202 0.00926227
55 0.392952 0.00962352
56 0.350244 0.00857758
57 0.331462 0.00811762
58 0.339438 0.00831294
59 0.373056 0.00913626
60 0.351101 0.00859858
61 0.3487 0.00853977
62 0.384548 0.00941769
63 0.486945 0.0119254
64 0.446638 0.0109383
65 0.327603 0.0080231
66 0.301446 0.00738252
67 0.297587 0.007288
68 0.328461 0.00804411
69 0.350244 0.00857758
70 0.35599 0.0087183
71 0.321514 0.00787398
72 0.395868 0.00969493
73 0.299474 0.00733421
74 0.319885 0.00783408
75 0.330691 0.00809871
76 0.317312 0.00777107
77 0.305306 0.00747703
78 0.288668 0.00706957
79 0.313967 0.00768916
80 0.332406 0.00814072
81 0.320142 0.00784038
82 0.321686 0.00787818
83 0.359849 0.00881281
84 0.284552 0.00696876
85 0.291498 0.00713888
86 0.285667 0.00699606
87 0.284723 0.00697296
88 0.368425 0.00902284
89 0.297759 0.0072922
90 0.347071 0.00849987
91 0.353674 0.00866159
92 0.281121 0.00688475
93 0.388579 0.00951641
94 0.347585 0.00851247
95 0.308221 0.00754844
96 0.342611 0.00839065
97 0.391923 0.00959832
98 0.295786 0.0072439
99 0.275032 0.00673563
100 0.29167 0.00714308
