FlowID Throughput_Mbps Normalized
1 0.832129 0.0204212
2 0.817293 0.0200571
3 0.800998 0.0196572
4 0.785819 0.0192847
5 0.838132 0.0205685
6 0.859916 0.0211031
7 0.853484 0.0209453
8 0.754259 0.0185102
9 0.75546 0.0185397
10 0.79105 0.0194131
11 0.868663 0.0213178
12 0.755631 0.0185439
13 0.781274 0.0191732
14 0.930324 0.022831
15 0.83959 0.0206043
16 0.888817 0.0218124
17 0.747913 0.0183545
18 0.803828 0.0197267
19 0.755717 0.018546
20 0.83333 0.0204507
21 0.840362 0.0206233
22 0.851511 0.0208969
23 0.796539 0.0195478
24 0.872093 0.021402
25 0.839333 0.020598
26 0.777757 0.0190869
27 0.804943 0.0197541
28 0.820723 0.0201413
29 0.800998 0.0196572
30 0.794652 0.0195015
31 0.793452 0.019472
32 0.795167 0.0195141
33 0.774499 0.0190069
34 0.714552 0.0175358
35 0.746712 0.018325
36 0.925951 0.0227237
37 0.810947 0.0199014
38 0.845336 0.0207453
39 0.804 0.0197309
40 0.851597 0.020899
41 0.817036 0.0200508
42 0.771668 0.0189375
43 0.887016 0.0217682
44 0.802285 0.0196888
45 0.76738 0.0188322
46 0.854684 0.0209747
47 0.804429 0.0197414
48 0.858715 0.0210737
49 0.801256 0.0196636
50 0.829042 0.0203455
