FlowID Throughput_Mbps Normalized
1 0.616271 0.0150981
2 0.684108 0.01676
3 0.609582 0.0149342
4 0.600492 0.0147115
5 0.622189 0.0152431
6 0.558298 0.0136778
7 0.518333 0.0126987
8 0.515675 0.0126336
9 0.589514 0.0144426
10 0.586598 0.0143711
11 0.548264 0.013432
12 0.52751 0.0129235
13 0.544919 0.01335
14 0.576736 0.0141295
15 0.524251 0.0128437
16 0.495521 0.0121398
17 0.548778 0.0134446
18 0.512931 0.0125663
19 0.480428 0.01177
20 0.48969 0.011997
21 0.467392 0.0114507
22 0.500838 0.0122701
23 0.495264 0.0121335
24 0.463876 0.0113645
25 0.510358 0.0125033
26 0.505126 0.0123751
27 0.447581 0.0109653
28 0.519706 0.0127323
29 0.478541 0.0117238
30 0.423569 0.0103771
31 0.466106 0.0114192
32 0.441664 0.0108204
33 0.490547 0.012018
34 0.481885 0.0118058
35 0.453327 0.0111061
36 0.422797 0.0103581
37 0.478284 0.0117175
38 0.411476 0.0100808
39 0.432916 0.0106061
40 0.386606 0.0094715
41 0.376829 0.00923198
42 0.417137 0.0102195
43 0.384977 0.00943158
44 0.378459 0.0092719
45 0.41182 0.0100892
46 0.38652 0.0094694
47 0.418252 0.0102468
48 0.383261 0.00938956
49 0.364995 0.00894204
50 0.362336 0.00887691
51 0.391494 0.00959126
52 0.353417 0.0086584
53 0.344412 0.00843779
54 0.341239 0.00836005
55 0.354875 0.00869412
56 0.445009 0.0109023
57 0.376915 0.00923409
58 0.33575 0.00822558
59 0.343383 0.00841258
60 0.402557 0.0098623
61 0.393724 0.00964589
62 0.424255 0.0103939
63 0.376229 0.00921728
64 0.322458 0.00789992
65 0.342525 0.00839157
66 0.36448 0.00892943
67 0.352645 0.00863949
68 0.361993 0.0088685
69 0.314396 0.00770243
70 0.325202 0.00796716
71 0.335836 0.00822769
72 0.308736 0.00756376
73 0.287639 0.0070469
74 0.281807 0.00690403
75 0.329404 0.00807011
76 0.33738 0.0082655
77 0.339524 0.00831803
78 0.359677 0.00881178
79 0.260453 0.00638087
80 0.371512 0.00910172
81 0.30642 0.00750703
82 0.355904 0.00871933
83 0.279749 0.0068536
84 0.284209 0.00696286
85 0.301961 0.00739777
86 0.308307 0.00755325
87 0.257966 0.00631994
88 0.274518 0.00672544
89 0.279149 0.0068389
90 0.361393 0.0088538
91 0.324602 0.00795245
92 0.348357 0.00853444
93 0.273403 0.00669813
94 0.321943 0.00788732
95 0.262854 0.0064397
96 0.339095 0.00830753
97 0.327089 0.00801338
98 0.251277 0.00615606
99 0.286438 0.00701748
100 0.281722 0.00690193
