FlowID Throughput_Mbps Normalized
1 0.42091 0.0103267
2 0.400842 0.00983437
3 0.407446 0.00999638
4 0.362679 0.00889806
5 0.413363 0.0101416
6 0.471766 0.0115744
7 0.501782 0.0123108
8 0.36448 0.00894225
9 0.378373 0.00928311
10 0.452298 0.0110968
11 0.336951 0.00826685
12 0.423311 0.0103856
13 0.374943 0.00919894
14 0.41182 0.0101037
15 0.398784 0.00978387
16 0.41302 0.0101331
17 0.402472 0.00987435
18 0.403501 0.00989959
19 0.504783 0.0123845
20 0.362765 0.00890017
21 0.423054 0.0103793
22 0.413878 0.0101542
23 0.370998 0.00910216
24 0.398098 0.00976704
25 0.371255 0.00910847
26 0.356161 0.00873815
27 0.456072 0.0111894
28 0.38249 0.0093841
29 0.408989 0.0100343
30 0.390894 0.0095903
31 0.424083 0.0104046
32 0.422625 0.0103688
33 0.434632 0.0106634
34 0.401528 0.0098512
35 0.434374 0.0106571
36 0.364995 0.00895487
37 0.364308 0.00893804
38 0.394925 0.00968919
39 0.373313 0.00915897
40 0.417308 0.0102383
41 0.458301 0.0112441
42 0.383261 0.00940304
43 0.419881 0.0103015
44 0.384033 0.00942197
45 0.393295 0.00964921
46 0.425027 0.0104277
47 0.4282 0.0105056
48 0.479313 0.0117596
49 0.393124 0.009645
50 0.404187 0.00991643
51 0.409075 0.0100364
52 0.405645 0.0099522
53 0.40796 0.010009
54 0.399642 0.00980491
55 0.4288 0.0105203
56 0.363794 0.00892542
57 0.347071 0.00851512
58 0.448268 0.0109979
59 0.374342 0.00918421
60 0.365852 0.00897591
61 0.387978 0.00951876
62 0.380603 0.00933781
63 0.417737 0.0102489
64 0.318427 0.00781237
65 0.386092 0.00947247
66 0.472709 0.0115976
67 0.410962 0.0100826
68 0.417222 0.0102362
69 0.42091 0.0103267
70 0.435404 0.0106823
71 0.423826 0.0103983
72 0.449897 0.0110379
73 0.412506 0.0101205
74 0.409075 0.0100364
75 0.387635 0.00951034
76 0.442264 0.0108506
77 0.401528 0.0098512
78 0.45247 0.011101
79 0.515075 0.012637
80 0.410362 0.0100679
81 0.39038 0.00957767
82 0.404273 0.00991853
83 0.424598 0.0104172
84 0.47897 0.0117512
85 0.346385 0.00849829
86 0.414049 0.0101584
87 0.390723 0.00958609
88 0.42434 0.0104109
89 0.422368 0.0103625
90 0.398441 0.00977545
91 0.392438 0.00962817
92 0.393553 0.00965552
93 0.387121 0.00949772
94 0.39604 0.00971654
95 0.4023 0.00987014
96 0.43386 0.0106444
97 0.403244 0.00989328
98 0.372627 0.00914213
99 0.387121 0.00949772
100 0.414478 0.0101689
