FlowID Throughput_Mbps Normalized
1 0.713523 0.0174744
2 0.636768 0.0155946
3 0.668242 0.0163655
4 0.593202 0.0145277
5 0.506156 0.0123959
6 0.57099 0.0139837
7 0.571676 0.0140005
8 0.554267 0.0135742
9 0.52022 0.0127404
10 0.516532 0.01265
11 0.546548 0.0133851
12 0.54732 0.013404
13 0.54449 0.0133347
14 0.562929 0.0137863
15 0.529225 0.0129609
16 0.55684 0.0136372
17 0.528024 0.0129315
18 0.467478 0.0114487
19 0.510015 0.0124904
20 0.526138 0.0128853
21 0.507013 0.0124169
22 0.475453 0.011644
23 0.466191 0.0114172
24 0.443722 0.0108669
25 0.501953 0.012293
26 0.531626 0.0130197
27 0.435747 0.0106716
28 0.550322 0.0134776
29 0.480599 0.01177
30 0.459845 0.0112617
31 0.514646 0.0126038
32 0.458044 0.0112176
33 0.417565 0.0102263
34 0.490118 0.0120032
35 0.440378 0.010785
36 0.419195 0.0102662
37 0.447238 0.010953
38 0.433688 0.0106212
39 0.390465 0.00956261
40 0.405645 0.00993437
41 0.430086 0.0105329
42 0.411905 0.0100877
43 0.413192 0.0101192
44 0.361307 0.00884852
45 0.429743 0.0105245
46 0.383261 0.00938619
47 0.384033 0.00940509
48 0.454957 0.011142
49 0.406845 0.00996377
50 0.398012 0.00974744
51 0.362164 0.00886952
52 0.340296 0.00833395
53 0.331634 0.00812182
54 0.371941 0.00910895
55 0.414221 0.0101444
56 0.377859 0.00925387
57 0.372113 0.00911315
58 0.330176 0.00808611
59 0.34304 0.00840116
60 0.346642 0.00848937
61 0.347242 0.00850407
62 0.353074 0.00864689
63 0.379145 0.00928538
64 0.345613 0.00846416
65 0.348014 0.00852297
66 0.359163 0.00879601
67 0.335236 0.00821003
68 0.287811 0.00704857
69 0.317398 0.00777317
70 0.303162 0.00742452
71 0.328461 0.00804411
72 0.341668 0.00836755
73 0.313453 0.00767656
74 0.275976 0.00675873
75 0.313281 0.00767235
76 0.3216 0.00787608
77 0.339009 0.00830244
78 0.339352 0.00831084
79 0.279835 0.00685324
80 0.377172 0.00923707
81 0.277005 0.00678393
82 0.321857 0.00788238
83 0.302047 0.00739722
84 0.286781 0.00702337
85 0.289612 0.00709268
86 0.316969 0.00776267
87 0.290555 0.00711578
88 0.323315 0.00791809
89 0.30359 0.00743502
90 0.327003 0.0080084
91 0.28884 0.00707377
92 0.30745 0.00752954
93 0.321514 0.00787398
94 0.366452 0.00897453
95 0.281636 0.00689735
96 0.299817 0.00734261
97 0.301361 0.00738041
98 0.295529 0.0072376
99 0.291241 0.00713258
100 0.330776 0.00810081
